SNO,Gender,I am able to quickly adapt to changes in life,I trust others easily,I feel satisfied with my personal life,I feel satisfied with my school life,I feel responsible for doing well in my life,I feel confident about my body image,I can understand and respect others  viewpoints,I hesitate to ask questions in class,I find it difficult to initiate conversations,People in my life see me as a happy person,My teachers see me as a good leader,My friends consider me trustworthy,I give in to peer pressure to fit in,I worry that people do not  like me,I often find it difficult to stay focused during class,I have trouble finishing assignments or tasks on time,"I frequently forget things like assignments, books, or my personal items","I get distracted easily, even by things that aren't part of the task at hand",I often find myself daydreaming or thinking about unrelated things when I should be focusing,I have trouble sitting still or staying in one place for a long time,"I talk or move around excessively, even when it's not appropriate","I tend to act impulsively, without thinking about the consequences",I often interrupt others or have trouble waiting for my turn during conversations,I struggle with organizing tasks or managing my time effectively,"I often feel restless or find it hard to relax, even when I should be resting","When I'm asked to complete a task, I often start it but don't finish it","Do you often lose things necessary for tasks (e.g., books, pencils, assignments)?",I am satisfied with my academic performance,I am able to submit my assignments on time,What prevents you from doing well academically?,I feel anxious due to:,I feel valued when I perform well academically,I get bothered when teachers don't notice my efforts,I feel like I donât belong or fit in at school,I feel jealous of others who are more popular or successful,I don't enjoy group activities or school events,I find online classes better than offline classes,What challenges did you face during online classes?,I often feel happy,I often feel anxious,I often feel lonely or tearful,I feel hopeful during stressful situations,I can understand others feelings and respond accordingly,I get into fights with my classmates or friends,I skip school or classes without a good reason,I tend to lie or hide the truth to avoid trouble,I have trouble following rules or instructions,"When feeling low, I prefer:",I believe I can solve challenging tasks,I have people I can talk to about my feelings,I usually cope with stress by:,I feel satisfied with my eating habits,I skip meals intentionally,I eat even when I'm not hungry due to stress or emotions,I feel guilty after eating,I avoid eating in front of others,I worry excessively about gaining weight,I feel pressure to look a certain way because of social media or peers,I restrict food intake to control my weight,Do you think your eating habits affect your emotional or physical well-being?,I feel overwhelmed by my emotions,I have felt hopeless or helpless recently,I feel like life is not worth living,I have thoughts of hurting myself,I find it difficult to share my feelings with others,I take part  in risky activities,Stress Risk %,Depression Risk %,Eating Disorder Risk %,Behavioral Issues Risk %,Mental Health Risk %,Stress Classification,Depression Classification,Eating Disorder Classification,Behavioral Issues Classification,Predicted Risk %
71,Female,Never,Sometimes,Often,Often,Often,Always,Rarely,Yes,Rarely,Always,Often,Rarely,Always,Rarely,Often,Often,Sometimes,Rarely,Sometimes,Never,Often,Always,Often,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Difficulty understanding content,Studies,Yes,No,yes,yes,yes,No,Electricity/internet problems  ,Always,Never,Always,Never,Yes,Always,Never,Always,Rarely,Ignoring the feelings  ,Rarely,No,Watching TV  ,Often,Rarely,Often,Often,Often,Often,Sometimes,Always,Never,Sometimes,Yes,Yes,Rarely,Rarely,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally",55.00000000000001,50.0,58.333333333333336,75.0,59.583333333333336,Moderate Risk,Moderate Risk,Moderate Risk,High Risk,59.024999999999984
72,Female,Often,Rarely,Always,Always,Always,Always,Always,No,Rarely,Sometimes,Always,Often,Often,Sometimes,Often,Sometimes,Often,Always,Never,Sometimes,Always,Often,Always,Sometimes,Often,Always,Never,Always,Rarely,Poor study habits,Exams,Yes,No,No,yes,yes,No,Lack of social interaction  ,Never,Always,Always,Never,No,Rarely,Often,Always,Sometimes,Talking to friends  ,Often,No,Helping others  ,Always,Always,Sometimes,Often,Rarely,Often,Sometimes,Often,Always,Never,Not Sure,Not Sure,Always,Often,"Skipping classes, Using weapons or carrying dangerous objects that could hurt others",65.0,70.0,70.83333333333334,58.333333333333336,66.04166666666667,High Risk,High Risk,High Risk,Moderate Risk,62.31666666666671
73,Female,Rarely,Never,Often,Always,Rarely,Often,Often,Yes,Sometimes,Rarely,Always,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Often,Rarely,Sometimes,Never,Always,Sometimes,Often,Rarely,Often,Sometimes,Often,Difficulty managing time,Results,Yes,No,No,No,yes,Yes,Personal reasons  ,Always,Never,Always,Rarely,No,Never,Often,Often,Often,Talking to teachers  ,Always,No,Changing the way I think  ,Sometimes,Sometimes,Rarely,Never,Always,Rarely,Sometimes,Always,Sometimes,Sometimes,Not Sure,Not Sure,Never,Sometimes,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",45.0,45.0,54.166666666666664,50.0,48.541666666666664,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,49.61874999999999
74,Female,Often,Always,Always,Sometimes,Always,Never,Sometimes,Yes,Never,Always,Sometimes,Never,Always,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Always,Always,Often,Always,Never,Never,Distractions,College admissions,Yes,No,yes,yes,No,No,Lack of time management  ,Always,Rarely,Never,Often,Yes,Never,Always,Never,Sometimes,Solving on my own  ,Often,No,Writing a diary  ,Sometimes,Rarely,Often,Rarely,Always,Rarely,Sometimes,Often,Often,Sometimes,No,No,Sometimes,Rarely,"Skipping classes, Bullying or getting into fights, Driving without a license, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",30.0,35.0,62.5,16.666666666666664,36.041666666666664,Moderate Risk,Moderate Risk,High Risk,Low Risk,41.84791666666666
75,Female,Never,Rarely,Rarely,Always,Often,Sometimes,Often,Sometimes,Always,Rarely,Never,Sometimes,Sometimes,Often,Sometimes,Often,Rarely,Sometimes,Often,Often,Often,Often,Sometimes,Never,Always,Often,Always,Rarely,Sometimes,Lack of concentration,I dont feel anxious,No,No,No,No,No,Yes,Difficulty understanding content  ,Sometimes,Rarely,Rarely,Sometimes,No,Never,Never,Sometimes,Sometimes,Waiting for things to improve  ,Rarely,No,Yoga or meditation  ,Never,Often,Often,Sometimes,Often,Rarely,Always,Never,Never,Never,Yes,Yes,Rarely,Often,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Driving without a license, Stealing or shoplifting",35.0,60.0,45.83333333333333,33.33333333333333,43.54166666666666,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,45.89583333333332
76,Female,Rarely,Sometimes,Sometimes,Often,Rarely,Always,Never,Sometimes,Sometimes,Often,Sometimes,Always,Sometimes,Rarely,Always,Rarely,Always,Sometimes,Rarely,Rarely,Often,Always,Rarely,Often,Always,Rarely,Never,Rarely,Sometimes,Difficulty managing time,Studies,No,Yes,yes,yes,yes,No,Electricity/internet problems  ,Rarely,Never,Always,Always,Yes,Never,Never,Often,Rarely,Talking to parents  ,Often,No,Watching TV  ,Often,Sometimes,Rarely,Sometimes,Never,Always,Always,Always,Always,Never,Yes,Yes,Often,Skip,"Skipping classes, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",60.0,65.0,54.166666666666664,33.33333333333333,53.125,High Risk,High Risk,Moderate Risk,Moderate Risk,53.78333333333333
77,Prefer not to say,Rarely,Sometimes,Never,Never,Rarely,Always,Sometimes,No,Sometimes,Rarely,Sometimes,Never,Sometimes,Always,Rarely,Often,Sometimes,Always,Always,Often,Often,Never,Always,Never,Always,Sometimes,Often,Rarely,Never,Difficulty understanding content,Career,No,No,yes,No,yes,No,Technical issues  ,Often,Sometimes,Rarely,Sometimes,No,Sometimes,Often,Sometimes,Sometimes,Ignoring the feelings  ,Often,Yes,Helping others  ,Often,Often,Never,Often,Sometimes,Rarely,Never,Often,Never,Sometimes,No,No,Always,Always,"Skipping classes, Bullying or getting into fights, Running away from home",30.0,55.00000000000001,45.83333333333333,50.0,45.20833333333333,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,43.89166666666666
78,Female,Sometimes,Never,Always,Sometimes,Never,Often,Often,No,Rarely,Never,Rarely,Never,Never,Never,Often,Sometimes,Never,Sometimes,Always,Never,Never,Often,Never,Often,Often,Rarely,Sometimes,Always,Sometimes,Poor study habits,College admissions,No,Yes,No,No,No,No,Lack of social interaction  ,Sometimes,Always,Often,Always,Yes,Often,Rarely,Rarely,Often,Talking to teachers  ,Rarely,No,Writing a diary  ,Always,Often,Never,Sometimes,Often,Never,Often,Always,Sometimes,Sometimes,Yes,Yes,Sometimes,Never,"Driving without a license, Using weapons or carrying dangerous objects that could hurt others",60.0,55.00000000000001,58.333333333333336,58.333333333333336,57.91666666666667,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,58.54374999999998
79,Male,Never,Rarely,Sometimes,Rarely,Sometimes,Never,Rarely,No,Sometimes,Never,Always,Always,Never,Never,Rarely,Never,Always,Always,Never,Never,Often,Never,Often,Rarely,Sometimes,Always,Never,Never,Always,Distractions,Exams,No,Yes,No,yes,No,No,Difficulty understanding content  ,Sometimes,Rarely,Rarely,Sometimes,No,Often,Rarely,Sometimes,Rarely,Talking to friends  ,Never,Yes,Changing the way I think  ,Often,Often,Always,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Often,Yes,Yes,Rarely,Never,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",40.0,50.0,66.66666666666666,50.0,51.666666666666664,Moderate Risk,Moderate Risk,High Risk,Moderate Risk,49.64166666666666
80,Female,Sometimes,Sometimes,Never,Rarely,Rarely,Sometimes,Often,Yes,Often,Rarely,Rarely,Rarely,Never,Often,Rarely,Often,Often,Always,Never,Rarely,Often,Rarely,Sometimes,Always,Never,Rarely,Always,Often,Never,Lack of concentration,Results,No,Yes,yes,yes,yes,No,Lack of time management  ,Often,Rarely,Rarely,Rarely,No,Rarely,Always,Often,Often,Solving on my own  ,Sometimes,No,Yoga or meditation  ,Sometimes,Rarely,Never,Rarely,Never,Never,Never,Never,Always,Rarely,No,No,Skip,Always,"Bullying or getting into fights, Stealing or shoplifting, Running away from home",15.0,50.0,25.0,58.333333333333336,37.083333333333336,Low Risk,Moderate Risk,Low Risk,Moderate Risk,38.49375000000004
81,Prefer not to say,Never,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,Yes,Often,Always,Never,Always,Sometimes,Rarely,Sometimes,Never,Sometimes,Rarely,Never,Rarely,Never,Never,Sometimes,Often,Rarely,Rarely,Never,Rarely,Sometimes,Difficulty understanding content,I dont feel anxious,No,No,yes,yes,yes,No,Technical issues  ,Often,Never,Never,Never,Yes,Never,Sometimes,Sometimes,Sometimes,Waiting for things to improve  ,Often,No,Watching TV  ,Always,Rarely,Often,Always,Always,Rarely,Sometimes,Often,Often,Never,No,No,Often,Always,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Running away from home, Avoiding homework or assignments intentionally",15.0,45.0,75.0,33.33333333333333,42.08333333333333,Low Risk,Moderate Risk,High Risk,Moderate Risk,41.991666666666696
82,Prefer not to say,Never,Rarely,Never,Often,Rarely,Always,Always,Yes,Sometimes,Rarely,Rarely,Never,Always,Always,Rarely,Rarely,Sometimes,Often,Rarely,Never,Never,Rarely,Rarely,Never,Often,Always,Never,Always,Never,Poor study habits,Exams,Yes,No,yes,No,yes,No,Electricity/internet problems  ,Rarely,Rarely,Sometimes,Often,No,Rarely,Sometimes,Sometimes,Rarely,Ignoring the feelings  ,Often,Yes,Helping others  ,Sometimes,Never,Often,Never,Sometimes,Always,Never,Rarely,Rarely,Never,No,No,Sometimes,Always,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",35.0,40.0,29.166666666666668,33.33333333333333,34.375,Moderate Risk,Moderate Risk,Low Risk,Moderate Risk,36.68125
83,Female,Rarely,Always,Rarely,Often,Always,Sometimes,Often,Sometimes,Always,Always,Never,Never,Rarely,Rarely,Always,Always,Rarely,Sometimes,Always,Rarely,Sometimes,Always,Always,Always,Rarely,Always,Rarely,Often,Often,Distractions,Career,No,yes,yes,No,yes,No,Lack of social interaction  ,Sometimes,Never,Sometimes,Never,No,Never,Always,Never,Often,Talking to friends  ,Often,Yes,Changing the way I think  ,Often,Always,Never,Often,Always,Always,Always,Sometimes,Always,Rarely,No,No,Always,Skip,"Stealing or shoplifting, Avoiding homework or assignments intentionally",55.00000000000001,50.0,70.83333333333334,25.0,50.208333333333336,Moderate Risk,Moderate Risk,High Risk,Low Risk,47.10833333333332
84,Female,Often,Never,Often,Never,Never,Sometimes,Sometimes,Yes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Always,Never,Sometimes,Always,Often,Rarely,Never,Never,Always,Never,Always,Often,Sometimes,Often,Difficulty managing time,Studies,No,No,No,No,yes,No,Personal reasons  ,Sometimes,Always,Sometimes,Rarely,Yes,Sometimes,Always,Never,Rarely,Talking to parents  ,Rarely,Yes,Writing a diary  ,Always,Always,Often,Sometimes,Sometimes,Never,Never,Often,Never,Sometimes,No,No,Sometimes,Always,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Avoiding homework or assignments intentionally",40.0,50.0,58.333333333333336,25.0,43.333333333333336,Moderate Risk,Moderate Risk,Moderate Risk,Low Risk,43.141666666666694
85,Male,Often,Rarely,Often,Rarely,Sometimes,Always,Always,No,Often,Always,Never,Always,Never,Sometimes,Often,Often,Often,Never,Always,Always,Never,Often,Often,Never,Sometimes,Always,Rarely,Always,Never,Lack of concentration,Results,No,No,yes,No,yes,Yes,Difficulty understanding content  ,Sometimes,Always,Always,Never,No,Often,Rarely,Rarely,Always,Talking to teachers  ,Sometimes,Yes,Yoga or meditation  ,Sometimes,Sometimes,Always,Always,Never,Always,Rarely,Always,Always,Never,Not Sure,Not Sure,Sometimes,Never,"Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",65.0,35.0,75.0,66.66666666666666,60.416666666666664,High Risk,Moderate Risk,High Risk,High Risk,58.425000000000026
86,Male,Often,Sometimes,Rarely,Always,Often,Never,Often,No,Often,Rarely,Always,Often,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Always,Sometimes,Rarely,Often,Always,Always,Often,Rarely,Rarely,Often,Rarely,Distractions,College admissions,Yes,No,yes,No,yes,Yes,Technical issues  ,Never,Always,Often,Often,No,Sometimes,Never,Rarely,Rarely,Waiting for things to improve  ,Always,Yes,Watching TV  ,Always,Often,Often,Often,Always,Always,Sometimes,Rarely,Often,Always,Not Sure,Not Sure,Skip,Skip,"Bullying or getting into fights, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally",85.0,40.0,70.83333333333334,33.33333333333333,57.29166666666667,High Risk,Moderate Risk,High Risk,Moderate Risk,55.71666666666666
87,Male,Rarely,Always,Rarely,Sometimes,Always,Sometimes,Always,Sometimes,Never,Always,Sometimes,Often,Never,Never,Often,Always,Rarely,Often,Always,Rarely,Rarely,Sometimes,Always,Never,Often,Never,Never,Rarely,Rarely,Poor study habits,I dont feel anxious,No,No,yes,No,No,Yes,Lack of time management  ,Sometimes,Always,Always,Rarely,Yes,Never,Sometimes,Sometimes,Never,Solving on my own  ,Never,No,Helping others  ,Always,Never,Often,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Yes,Yes,Sometimes,Always,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",65.0,80.0,29.166666666666668,16.666666666666664,47.70833333333333,High Risk,High Risk,Low Risk,Low Risk,47.68125
88,Male,Never,Always,Often,Rarely,Sometimes,Sometimes,Rarely,No,Never,Rarely,Never,Often,Often,Always,Often,Rarely,Sometimes,Rarely,Often,Always,Sometimes,Sometimes,Always,Often,Rarely,Never,Often,Rarely,Sometimes,Difficulty managing time,Exams,Yes,yes,No,yes,yes,No,Electricity/internet problems  ,Often,Never,Often,Often,No,Rarely,Always,Always,Never,Ignoring the feelings  ,Never,No,Changing the way I think  ,Sometimes,Often,Sometimes,Never,Sometimes,Often,Sometimes,Often,Rarely,Sometimes,No,No,Skip,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Stealing or shoplifting, Running away from home, Using weapons or carrying dangerous objects that could hurt others",50.0,35.0,45.83333333333333,41.66666666666667,43.125,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,44.225
89,Male,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Yes,Often,Often,Sometimes,Rarely,Never,Never,Rarely,Often,Often,Rarely,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Always,Lack of concentration,Studies,No,yes,No,No,No,Yes,Lack of social interaction  ,Always,Never,Rarely,Often,No,Always,Never,Often,Often,Talking to friends  ,Rarely,No,Writing a diary  ,Sometimes,Rarely,Never,Rarely,Always,Always,Always,Always,Always,Always,Not Sure,Not Sure,Sometimes,Always,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Avoiding homework or assignments intentionally",65.0,50.0,58.333333333333336,83.33333333333334,64.16666666666667,High Risk,Moderate Risk,Moderate Risk,High Risk,62.714583333333366
90,Male,Sometimes,Sometimes,Often,Often,Often,Never,Rarely,Yes,Often,Rarely,Often,Rarely,Never,Never,Never,Rarely,Sometimes,Sometimes,Never,Sometimes,Never,Rarely,Sometimes,Sometimes,Sometimes,Often,Never,Sometimes,Rarely,Difficulty understanding content,Results,No,No,yes,yes,yes,No,Personal reasons  ,Sometimes,Often,Never,Often,No,Rarely,Sometimes,Rarely,Never,Talking to teachers  ,Sometimes,Yes,Yoga or meditation  ,Sometimes,Never,Rarely,Sometimes,Rarely,Often,Always,Never,Always,Always,Not Sure,Not Sure,Rarely,Sometimes,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting",70.0,45.0,33.33333333333333,16.666666666666664,41.24999999999999,High Risk,Moderate Risk,Moderate Risk,Low Risk,42.29166666666665
91,Prefer not to say,Rarely,Always,Rarely,Rarely,Always,Rarely,Sometimes,Yes,Often,Always,Sometimes,Sometimes,Always,Sometimes,Rarely,Rarely,Never,Always,Sometimes,Often,Often,Never,Sometimes,Often,Sometimes,Always,Always,Never,Always,Poor study habits,Career,No,Yes,yes,No,No,Yes,Technical issues  ,Never,Always,Often,Sometimes,Yes,Often,Rarely,Never,Sometimes,Solving on my own  ,Always,Yes,Helping others  ,Always,Rarely,Rarely,Rarely,Always,Always,Often,Often,Sometimes,Always,Yes,Yes,Sometimes,Never,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",90.0,55.00000000000001,50.0,41.66666666666667,59.16666666666667,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,56.79166666666666
92,Female,Never,Often,Often,Always,Rarely,Always,Often,Yes,Rarely,Rarely,Always,Often,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Often,Sometimes,Never,Often,Sometimes,Never,Never,Often,Rarely,Often,Never,Distractions,I dont feel anxious,No,yes,yes,No,No,No,Difficulty understanding content  ,Sometimes,Always,Rarely,Rarely,Yes,Rarely,Never,Never,Rarely,Waiting for things to improve  ,Rarely,No,Watching TV  ,Never,Often,Sometimes,Always,Never,Never,Sometimes,Rarely,Never,Never,No,No,Rarely,Never,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally",35.0,5.0,41.66666666666667,16.666666666666664,24.583333333333336,Moderate Risk,Low Risk,Moderate Risk,Low Risk,28.764583333333345
93,Male,Sometimes,Sometimes,Never,Often,Often,Always,Often,Sometimes,Never,Never,Always,Always,Often,Always,Often,Always,Always,Sometimes,Often,Often,Never,Sometimes,Always,Never,Always,Never,Never,Often,Always,Difficulty managing time,College admissions,Yes,No,No,No,No,Yes,Lack of social interaction  ,Always,Rarely,Always,Never,No,Rarely,Never,Never,Often,Talking to parents  ,Never,No,Writing a diary  ,Often,Often,Never,Sometimes,Always,Always,Always,Often,Never,Sometimes,Not Sure,Not Sure,Skip,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting",75.0,35.0,50.0,33.33333333333333,48.33333333333333,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,47.90208333333332
94,Male,Sometimes,Sometimes,Never,Sometimes,Rarely,Never,Never,No,Sometimes,Rarely,Never,Often,Never,Often,Always,Never,Always,Never,Never,Always,Never,Often,Often,Sometimes,Rarely,Often,Often,Rarely,Always,Lack of concentration,Studies,Yes,No,No,yes,yes,No,Lack of time management  ,Sometimes,Often,Always,Never,Yes,Rarely,Rarely,Never,Often,Ignoring the feelings  ,Often,No,Changing the way I think  ,Often,Sometimes,Rarely,Rarely,Always,Never,Always,Rarely,Always,Rarely,No,No,Never,Sometimes,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",60.0,15.0,54.166666666666664,33.33333333333333,40.625,High Risk,Low Risk,Moderate Risk,Moderate Risk,43.44791666666667
95,Male,Sometimes,Sometimes,Never,Rarely,Always,Rarely,Rarely,Yes,Never,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Often,Rarely,Never,Rarely,Sometimes,Often,Sometimes,Rarely,Never,Often,Rarely,Sometimes,Rarely,Often,Difficulty understanding content,Career,No,Yes,No,yes,No,Yes,Electricity/internet problems  ,Often,Often,Rarely,Never,No,Often,Sometimes,Rarely,Sometimes,Solving on my own  ,Always,No,Yoga or meditation  ,Often,Rarely,Never,Rarely,Rarely,Sometimes,Never,Rarely,Often,Sometimes,Yes,Yes,Often,Sometimes,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",40.0,75.0,29.166666666666668,50.0,48.541666666666664,Moderate Risk,High Risk,Low Risk,Moderate Risk,48.53124999999998
96,Male,Never,Often,Never,Always,Always,Always,Always,Yes,Always,Rarely,Always,Sometimes,Never,Never,Sometimes,Rarely,Sometimes,Never,Often,Never,Rarely,Always,Never,Never,Sometimes,Never,Never,Sometimes,Rarely,Poor study habits,Results,No,No,yes,No,No,No,Personal reasons  ,Always,Often,Sometimes,Often,Yes,Sometimes,Sometimes,Always,Always,Talking to teachers  ,Always,Yes,Helping others  ,Often,Often,Always,Never,Sometimes,Sometimes,Sometimes,Never,Rarely,Always,Yes,Yes,Often,Always,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Avoiding homework or assignments intentionally",65.0,85.0,41.66666666666667,83.33333333333334,68.75,High Risk,High Risk,Moderate Risk,High Risk,64.28125
97,Male,Never,Sometimes,Rarely,Always,Never,Never,Never,No,Always,Often,Rarely,Rarely,Sometimes,Sometimes,Often,Often,Often,Never,Often,Often,Sometimes,Often,Often,Always,Never,Never,Always,Sometimes,Often,Distractions,Exams,Yes,No,yes,yes,yes,No,Technical issues  ,Rarely,Sometimes,Always,Often,Yes,Sometimes,Often,Rarely,Always,Waiting for things to improve  ,Never,No,Changing the way I think  ,Sometimes,Often,Often,Often,Rarely,Always,Never,Sometimes,Often,Never,Yes,Yes,Rarely,Skip,"Skipping classes, Bullying or getting into fights, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",50.0,70.0,62.5,58.333333333333336,60.208333333333336,Moderate Risk,High Risk,High Risk,Moderate Risk,57.2770833333333
98,Male,Sometimes,Often,Always,Rarely,Never,Rarely,Never,No,Often,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Always,Rarely,Never,Always,Always,Always,Always,Rarely,Rarely,Never,Sometimes,Rarely,Never,Difficulty managing time,I dont feel anxious,No,No,No,yes,yes,No,Difficulty understanding content  ,Often,Often,Rarely,Often,Yes,Always,Never,Sometimes,Sometimes,Talking to friends  ,Rarely,No,Watching TV  ,Often,Often,Always,Always,Sometimes,Always,Sometimes,Always,Often,Rarely,No,No,Rarely,Often,"Skipping classes, Bullying or getting into fights, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",55.00000000000001,20.0,83.33333333333334,66.66666666666666,56.25,Moderate Risk,Low Risk,High Risk,High Risk,47.05416666666665
99,Male,Never,Often,Never,Often,Often,Always,Always,Sometimes,Rarely,Often,Often,Often,Rarely,Never,Always,Always,Often,Often,Rarely,Often,Often,Rarely,Always,Rarely,Rarely,Never,Never,Never,Rarely,Lack of concentration,Studies,Yes,No,yes,No,No,Yes,Lack of social interaction  ,Rarely,Often,Often,Sometimes,No,Never,Never,Always,Rarely,Talking to parents  ,Rarely,No,Writing a diary  ,Sometimes,Often,Often,Rarely,Rarely,Never,Often,Often,Always,Never,No,No,Sometimes,Always,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting",45.0,30.0,62.5,41.66666666666667,44.79166666666667,Moderate Risk,Moderate Risk,High Risk,Moderate Risk,42.92916666666663
100,Prefer not to say,Often,Sometimes,Never,Rarely,Never,Often,Never,Yes,Always,Sometimes,Rarely,Sometimes,Always,Always,Always,Sometimes,Often,Rarely,Never,Never,Never,Rarely,Always,Rarely,Always,Sometimes,Often,Rarely,Never,Poor study habits,College admissions,No,Yes,yes,yes,No,Yes,Lack of time management  ,Often,Rarely,Sometimes,Always,No,Always,Always,Often,Never,Ignoring the feelings  ,Never,No,Yoga or meditation  ,Never,Always,Rarely,Often,Rarely,Sometimes,Always,Always,Sometimes,Often,Not Sure,Not Sure,Skip,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting",60.0,55.00000000000001,62.5,58.333333333333336,58.958333333333336,High Risk,Moderate Risk,High Risk,Moderate Risk,58.499999999999964
101,Female,Always,Rarely,Often,Never,Never,Always,Always,No,Rarely,Never,Often,Always,Rarely,Never,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Rarely,Never,Sometimes,Always,Sometimes,Sometimes,Rarely,Always,Difficulty managing time,Results,Yes,No,yes,yes,yes,Yes,Electricity/internet problems  ,Rarely,Often,Rarely,Often,No,Never,Often,Always,Never,Talking to teachers  ,Rarely,No,Helping others  ,Rarely,Never,Never,Often,Rarely,Never,Sometimes,Never,Often,Rarely,Yes,Yes,Never,Often,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Running away from home, Using weapons or carrying dangerous objects that could hurt others",35.0,70.0,29.166666666666668,33.33333333333333,41.875,Moderate Risk,High Risk,Low Risk,Moderate Risk,44.94375
